sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,base_image,thumbnail_image,small_image,additional_images
FS0027,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 5mm Oval,"<p>Werden im Gleitschirmbereich zur Verbindung von Gurtzeug und Notschirm verwendet.</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>21g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",13.9275877437,,,,,,,,,,,,,,,,,,,,,,,,,,970,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-tabelle_highres.jpg
FS0358,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3mm Oval,"<p>Ideal zum verbinden von Seilen oder Ketten.&nbsp;</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>5g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",5.1067855153,,,,,,,,,,,,,,,,,,,,,,,,,,984,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-tabelle_highres.jpg
FS0359,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 2.5mm Oval,"<p>Ideal zum verbinden von Seilen oder Ketten.&nbsp;</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>3g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",4.6424958217,,,,,,,,,,,,,,,,,,,,,,,,,,977,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-photo.jpg,peguet_maillon_rapide-maillon-rapide-normal-tabelle_highres.jpg
FS0026,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 7mm Rechteckig,"<p>Werden im Gleitschirmbereich zur Verbindung von Gurtzeug und Notschirm verwendet (Tandem).</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>66g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",16.7131253482,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-tabelle_highres.jpg
FS0164,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 4mm Rechteckig,"<p>Ideal zum verbinden von Gurten mit gleicher Breite.</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>15g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",7.6137493036,,,,,,,,,,,,,,,,,,,,,,,,,,997,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-tabelle_highres.jpg
FS0361,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3.5mm Rechteckig,"<p>Ideal zum verbinden von Gurten mit gleicher Breite.</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>11g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",7.3351754875,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-tabelle_highres.jpg
FS0362,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3mm Rechteckig,"<p>Ideal zum verbinden von Gurten mit gleicher Breite.</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>6g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",7.6137493036,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-tabelle_highres.jpg
FS0363,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 2.5mm Rechteckig,"<p>Ideal zum verbinden von Gurten mit gleicher Breite.</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>4g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",8.3565125348,,,,,,,,,,,,,,,,,,,,,,,,,,996,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-photo.jpg,peguet_maillon_rapide-maillon-rapide-carre-tabelle_highres.jpg
FS0364,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3.5mm Delta Spezial,"<p>F&uuml;r diverse Anwendungen im Flugsport ( z.B. Leinenschl&ouml;sser )</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>8g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",4.9210696379,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-special-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-special-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-special-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-special-tabelle_highres.jpg
FS0365,,Default,simple,"Default Category/Produkte/Parts/Schraubglieder / Maillon Rapide,Default Category/Produkte/Parts/Peguet Maillon Rapide",base,Maillon Rapide 3mm Delta Spezial,"<p>F&uuml;r diverse Anwendungen im Flugsport ( z.B. Leinenschl&ouml;sser )</p>
<p>Made in France</p>
<p><strong>Material:</strong></p>
<p>INOX Edelstahl</p>
<p><strong>Gewicht:</strong></p>
<p>5g</p>",,0.05,1,Taxable Goods,"Katalog, Suche",4.6424958217,,,,,,,,,,,,,,,,,,,,,,,,,,997,0,0,1,0,0,1,1,0,0,1,1,,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,peguet_maillon_rapide-maillon-rapide-delta-special-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-special-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-special-photo.jpg,peguet_maillon_rapide-maillon-rapide-delta-special-tabelle_highres.jpg
